satisfaction_level    last_evaluation    number_project    average_montly_hours    time_spend_company    Work_accident    promotion_last_5years    sales    salary    left_prediction    left_result
0.31    0.77    4.0    149.0    3.0    0.0    0.0    -0.07    0.2    0    1
0.39    0.54    2.0    133.0    3.0    0.0    0.0    0.02    -0.34    1    1
0.65    0.88    4.0    268.0    4.0    0.0    0.0    -0.12    0.2    0    0
0.55    0.99    3.0    158.0    3.0    0.0    0.0    -0.07    -0.34    0    0
0.95    0.67    4.0    227.0    3.0    0.0    0.0    -0.07    -0.34    0    0
0.44    0.54    2.0    127.0    3.0    0.0    0.0    1.0    0.2    0    1
0.88    0.71    3.0    184.0    3.0    0.0    0.0    -0.19    -0.34    0    0
0.17    0.81    5.0    280.0    4.0    0.0    0.0    0.2    0.2    1    0
0.67    0.82    5.0    148.0    2.0    1.0    0.0    -0.19    0.2    0    0
0.43    0.38    2.0    278.0    3.0    1.0    0.0    -0.07    -0.34    0    0
0.62    0.75    5.0    165.0    4.0    0.0    0.0    -0.07    0.2    0    0
0.23    0.99    5.0    176.0    4.0    1.0    0.0    -0.07    -0.34    0    0
0.46    0.63    2.0    177.0    6.0    0.0    0.0    0.9    0.2    0    0
0.51    0.74    6.0    98.0    3.0    0.0    0.0    -0.12    -0.34    0    0
0.42    0.91    3.0    209.0    2.0    0.0    0.0    -0.19    -0.34    0    0
0.11    0.9    6.0    254.0    4.0    0.0    0.0    -0.19    -0.34    1    1
0.93    0.6    5.0    170.0    2.0    0.0    0.0    -0.19    0.2    0    0
0.76    0.98    4.0    173.0    3.0    1.0    0.0    -0.07    -0.34    0    0
0.37    0.47    2.0    148.0    3.0    0.0    0.0    -0.56    -0.34    1    1
0.7    0.58    5.0    168.0    3.0    0.0    0.0    1.0    -0.34    0    0
0.5    0.73    4.0    237.0    2.0    0.0    0.0    -0.12    0.2    0    0
0.41    0.71    4.0    301.0    5.0    0.0    0.0    -0.19    -0.34    1    1
0.82    0.67    3.0    229.0    3.0    0.0    0.0    -0.07    0.2    0    0
0.73    0.77    3.0    230.0    2.0    0.0    0.0    -0.07    -0.34    0    0
0.89    0.93    4.0    245.0    4.0    0.0    0.0    -0.07    0.2    0    0
0.61    0.62    4.0    233.0    3.0    0.0    0.0    0.02    0.2    0    0
0.64    0.73    3.0    142.0    3.0    0.0    0.0    0.02    -0.34    0    0
0.55    0.59    3.0    231.0    4.0    0.0    0.0    -0.56    0.2    0    0
0.99    0.72    3.0    119.0    2.0    1.0    0.0    0.02    -0.34    0    0
0.78    0.49    3.0    224.0    3.0    0.0    0.0    -0.07    -0.34    0    0
0.34    0.46    6.0    132.0    2.0    0.0    0.0    -0.12    0.2    0    0
0.52    0.86    6.0    103.0    4.0    0.0    0.0    -0.07    -0.34    0    0
0.11    0.98    6.0    250.0    4.0    0.0    0.0    -0.07    0.2    1    1
0.95    0.4    5.0    286.0    4.0    0.0    0.0    -0.12    -0.34    0    0
0.4    0.51    2.0    136.0    3.0    0.0    0.0    0.2    -0.34    1    1
0.43    0.51    2.0    155.0    3.0    0.0    0.0    -0.19    0.2    0    1
0.9    0.93    4.0    263.0    3.0    1.0    0.0    -0.12    0.2    0    0
0.67    0.72    4.0    223.0    3.0    0.0    0.0    -0.12    0.2    0    0
0.59    0.79    4.0    181.0    3.0    0.0    0.0    0.9    0.2    0    0
0.91    0.82    3.0    183.0    2.0    0.0    0.0    -0.07    0.2    0    0
0.83    0.69    4.0    151.0    2.0    0.0    0.0    -0.12    -0.34    0    0
0.49    0.99    6.0    205.0    5.0    0.0    0.0    -0.19    1.0    0    0
0.93    0.97    4.0    227.0    3.0    0.0    0.0    0.02    0.2    0    0
0.71    0.49    4.0    273.0    2.0    1.0    0.0    0.9    -0.34    0    0
0.59    0.49    7.0    263.0    4.0    0.0    0.0    -0.19    0.2    0    1
0.78    0.4    4.0    145.0    5.0    1.0    1.0    -0.07    0.2    0    0
0.83    0.54    4.0    189.0    4.0    0.0    0.0    0.9    -0.34    0    0
0.24    0.58    3.0    184.0    5.0    1.0    0.0    -0.19    0.2    0    0
0.31    0.87    4.0    184.0    3.0    0.0    0.0    -0.19    -0.34    1    1
0.18    0.81    4.0    147.0    4.0    0.0    0.0    0.02    -0.34    1    0
0.8    0.62    3.0    171.0    3.0    0.0    0.0    -0.19    -0.34    0    0
0.72    0.74    3.0    187.0    2.0    0.0    0.0    -0.07    0.2    0    0
0.11    0.78    6.0    303.0    4.0    0.0    0.0    -0.07    0.2    1    1
0.39    0.87    5.0    257.0    5.0    1.0    0.0    0.17    0.2    0    0
0.73    0.72    3.0    166.0    3.0    0.0    0.0    -0.19    0.2    0    0
0.52    0.84    4.0    212.0    3.0    0.0    0.0    0.17    0.2    0    0
0.53    0.59    4.0    265.0    2.0    0.0    0.0    -0.12    0.2    0    0
0.63    0.62    4.0    286.0    5.0    1.0    0.0    0.9    -0.34    0    0
0.81    0.73    4.0    258.0    2.0    0.0    0.0    -0.19    -0.34    0    0
0.16    0.52    3.0    100.0    4.0    0.0    0.0    -0.12    0.2    1    0
0.09    0.84    6.0    269.0    4.0    0.0    0.0    -0.07    -0.34    1    1
0.42    0.56    2.0    143.0    3.0    0.0    0.0    -0.12    0.2    0    1
0.9    0.96    3.0    223.0    4.0    0.0    0.0    -0.07    1.0    0    0
0.84    0.53    3.0    210.0    4.0    1.0    0.0    0.02    0.2    0    0
0.74    0.67    4.0    148.0    3.0    0.0    0.0    -0.3    0.2    0    0
0.62    0.72    2.0    180.0    2.0    1.0    0.0    -0.19    -0.34    0    0
0.42    0.86    3.0    160.0    4.0    1.0    0.0    -0.07    -0.34    0    0
0.91    0.49    3.0    213.0    4.0    0.0    0.0    -0.19    0.2    0    0
0.45    0.48    2.0    149.0    3.0    0.0    0.0    -0.12    -0.34    0    1
0.76    0.58    5.0    136.0    3.0    0.0    0.0    -0.19    0.2    0    0
0.39    0.54    2.0    158.0    3.0    0.0    0.0    -0.12    -0.34    1    1
0.31    0.62    6.0    135.0    5.0    0.0    0.0    -0.12    -0.34    0    1
0.25    0.76    6.0    182.0    3.0    0.0    0.0    -0.3    -0.34    0    0
0.92    0.68    4.0    138.0    7.0    0.0    0.0    -0.07    0.2    0    0
0.78    0.87    3.0    183.0    4.0    0.0    0.0    0.9    -0.34    0    0
0.68    0.88    5.0    256.0    2.0    0.0    0.0    -0.19    0.2    0    0
0.46    0.48    2.0    141.0    3.0    1.0    0.0    -0.07    -0.34    0    1
0.87    0.82    4.0    198.0    7.0    0.0    0.0    -0.07    0.2    0    0
0.09    0.94    6.0    283.0    5.0    0.0    0.0    0.17    -0.34    1    1
0.66    0.8    4.0    192.0    3.0    0.0    0.0    -0.56    0.2    0    0
0.36    0.89    3.0    197.0    6.0    0.0    0.0    -0.56    0.2    1    0
0.42    0.56    2.0    158.0    3.0    0.0    0.0    -0.19    -0.34    1    1
0.89    0.78    3.0    185.0    2.0    1.0    0.0    -0.19    0.2    0    0
0.75    0.9    5.0    256.0    5.0    0.0    0.0    -0.12    -0.34    0    1
0.75    0.51    4.0    138.0    4.0    0.0    0.0    0.02    0.2    0    0
0.8    0.58    4.0    175.0    2.0    0.0    0.0    0.9    -0.34    0    0
0.98    0.53    3.0    234.0    3.0    0.0    0.0    -0.07    0.2    0    0
0.38    0.51    2.0    146.0    3.0    0.0    0.0    0.17    0.2    0    1
0.53    0.8    4.0    241.0    3.0    1.0    0.0    -0.19    -0.34    0    0
1.0    0.61    4.0    198.0    2.0    0.0    0.0    1.0    -0.34    0    0
0.77    0.86    5.0    238.0    3.0    0.0    0.0    1.0    1.0    0    0
0.7    0.85    3.0    188.0    2.0    0.0    0.0    -0.19    0.2    0    0
0.44    0.51    2.0    156.0    3.0    0.0    0.0    -0.19    1.0    0    1
0.82    0.62    3.0    152.0    6.0    0.0    0.0    -0.19    -0.34    0    0
0.66    0.64    4.0    204.0    2.0    0.0    0.0    0.9    -0.34    0    0
0.56    0.71    4.0    296.0    2.0    0.0    0.0    0.17    0.2    0    1
0.7    0.43    6.0    253.0    3.0    0.0    0.0    0.17    1.0    0    0
0.1    0.84    7.0    250.0    4.0    0.0    0.0    0.2    -0.34    1    1
0.37    0.49    3.0    177.0    3.0    0.0    0.0    0.02    1.0    0    0
0.19    0.58    4.0    173.0    5.0    0.0    0.0    -0.3    0.2    1    0
0.36    0.49    2.0    145.0    3.0    0.0    0.0    -0.19    0.2    0    1
0.43    0.49    2.0    160.0    3.0    0.0    0.0    -0.19    0.2    0    1
0.84    0.93    5.0    225.0    4.0    0.0    0.0    -0.07    1.0    0    0
0.87    0.9    5.0    254.0    6.0    0.0    0.0    -0.12    -0.34    0    1
0.78    0.76    3.0    238.0    3.0    0.0    0.0    0.02    0.2    0    0
0.39    0.49    2.0    146.0    3.0    0.0    0.0    -0.12    -0.34    1    1
0.59    0.92    4.0    196.0    2.0    0.0    0.0    0.9    0.2    0    0
0.73    0.52    2.0    113.0    5.0    1.0    0.0    -0.12    0.2    0    0
0.73    0.86    3.0    200.0    4.0    0.0    0.0    -0.19    0.2    0    0
0.45    0.72    4.0    149.0    3.0    0.0    0.0    0.02    -0.34    0    0
0.9    0.62    4.0    258.0    3.0    0.0    0.0    -0.19    0.2    0    0
0.52    0.38    3.0    132.0    4.0    0.0    0.0    -0.12    0.2    0    0
